"Date","Price","Open","High","Low","Vol.","Change %"
"29/09/2023","0.6434","0.6427","0.6503","0.6421","","0.17%"
"28/09/2023","0.6423","0.6353","0.6434","0.6344","","1.12%"
"27/09/2023","0.6352","0.6400","0.6410","0.6331","","-0.69%"
"26/09/2023","0.6396","0.6424","0.6431","0.6387","","-0.42%"
"25/09/2023","0.6423","0.6450","0.6453","0.6403","","-0.28%"
"22/09/2023","0.6441","0.6418","0.6467","0.6403","","0.37%"
"21/09/2023","0.6417","0.6448","0.6455","0.6385","","-0.43%"
"20/09/2023","0.6445","0.6456","0.6513","0.6439","","-0.14%"
"19/09/2023","0.6454","0.6438","0.6475","0.6427","","0.31%"
"18/09/2023","0.6434","0.6443","0.6452","0.6416","","0.03%"
"15/09/2023","0.6432","0.6441","0.6475","0.6424","","-0.11%"
"14/09/2023","0.6439","0.6425","0.6460","0.6414","","0.28%"
"13/09/2023","0.6421","0.6427","0.6436","0.6380","","-0.05%"
"12/09/2023","0.6424","0.6435","0.6442","0.6407","","-0.11%"
"11/09/2023","0.6431","0.6392","0.6450","0.6374","","0.88%"
"08/09/2023","0.6375","0.6377","0.6416","0.6367","","-0.02%"
"07/09/2023","0.6376","0.6378","0.6396","0.6362","","-0.09%"
"06/09/2023","0.6382","0.6381","0.6406","0.6356","","0.08%"
"05/09/2023","0.6377","0.6455","0.6466","0.6356","","-1.25%"
"04/09/2023","0.6458","0.6457","0.6482","0.6442","","0.12%"
"01/09/2023","0.6450","0.6482","0.6522","0.6438","","-0.51%"
"31/08/2023","0.6483","0.6475","0.6508","0.6460","","0.11%"
"30/08/2023","0.6476","0.6483","0.6524","0.6449","","-0.09%"
"29/08/2023","0.6482","0.6424","0.6488","0.6400","","0.82%"
"28/08/2023","0.6429","0.6409","0.6440","0.6400","","0.45%"
"25/08/2023","0.6400","0.6417","0.6442","0.6380","","-0.30%"
"24/08/2023","0.6419","0.6482","0.6489","0.6411","","-0.88%"
"23/08/2023","0.6476","0.6424","0.6483","0.6410","","0.86%"
"22/08/2023","0.6421","0.6412","0.6459","0.6403","","0.14%"
"21/08/2023","0.6412","0.6411","0.6423","0.6387","","0.16%"
"18/08/2023","0.6402","0.6404","0.6431","0.6378","","-0.02%"
"17/08/2023","0.6403","0.6429","0.6452","0.6364","","-0.31%"
"16/08/2023","0.6423","0.6458","0.6482","0.6416","","-0.48%"
"15/08/2023","0.6454","0.6490","0.6522","0.6451","","-0.46%"
"14/08/2023","0.6484","0.6502","0.6509","0.6453","","-0.22%"
"11/08/2023","0.6498","0.6518","0.6535","0.6485","","-0.23%"
"10/08/2023","0.6513","0.6528","0.6617","0.6514","","-0.20%"
"09/08/2023","0.6526","0.6544","0.6572","0.6520","","-0.26%"
"08/08/2023","0.6543","0.6572","0.6578","0.6496","","-0.44%"
"07/08/2023","0.6572","0.6569","0.6594","0.6554","","0.05%"
"04/08/2023","0.6569","0.6556","0.6611","0.6542","","0.26%"
"03/08/2023","0.6552","0.6541","0.6570","0.6513","","0.21%"
"02/08/2023","0.6538","0.6614","0.6631","0.6526","","-1.10%"
"01/08/2023","0.6611","0.6718","0.6725","0.6601","","-1.62%"
"31/07/2023","0.6720","0.6659","0.6740","0.6644","","1.07%"
"28/07/2023","0.6649","0.6711","0.6715","0.6622","","-0.85%"
"27/07/2023","0.6706","0.6760","0.6823","0.6698","","-0.74%"
"26/07/2023","0.6756","0.6787","0.6794","0.6728","","-0.49%"
"25/07/2023","0.6789","0.6737","0.6795","0.6725","","0.74%"
"24/07/2023","0.6739","0.6733","0.6758","0.6714","","0.18%"
"21/07/2023","0.6727","0.6780","0.6789","0.6722","","-0.77%"
"20/07/2023","0.6779","0.6773","0.6848","0.6765","","0.07%"
"19/07/2023","0.6774","0.6814","0.6822","0.6750","","-0.59%"
"18/07/2023","0.6814","0.6816","0.6838","0.6788","","-0.01%"
"17/07/2023","0.6815","0.6841","0.6855","0.6787","","-0.32%"
"14/07/2023","0.6837","0.6887","0.6896","0.6830","","-0.73%"
"13/07/2023","0.6887","0.6786","0.6896","0.6783","","1.47%"
"12/07/2023","0.6787","0.6686","0.6798","0.6680","","1.51%"
"11/07/2023","0.6686","0.6672","0.6697","0.6650","","0.16%"
"10/07/2023","0.6675","0.6683","0.6697","0.6622","","-0.19%"
"07/07/2023","0.6688","0.6621","0.6702","0.6617","","0.95%"
"06/07/2023","0.6625","0.6655","0.6689","0.6599","","-0.44%"
"05/07/2023","0.6654","0.6689","0.6700","0.6653","","-0.55%"
"04/07/2023","0.6691","0.6670","0.6707","0.6640","","0.31%"
"03/07/2023","0.6670","0.6666","0.6694","0.6636","","0.06%"
"30/06/2023","0.6666","0.6616","0.6673","0.6603","","0.79%"
"29/06/2023","0.6614","0.6601","0.6641","0.6594","","0.23%"
"28/06/2023","0.6599","0.6685","0.6691","0.6597","","-1.27%"
"27/06/2023","0.6684","0.6675","0.6722","0.6669","","0.21%"
"26/06/2023","0.6670","0.6676","0.6696","0.6666","","-0.10%"
"23/06/2023","0.6677","0.6757","0.6769","0.6662","","-1.15%"
"22/06/2023","0.6755","0.6795","0.6808","0.6744","","-0.60%"
"21/06/2023","0.6796","0.6782","0.6805","0.6740","","0.19%"
"20/06/2023","0.6783","0.6851","0.6856","0.6752","","-0.96%"
