"Date","Price","Open","High","Low","Vol.","Change %"
"16/10/2024","0.670350","0.670750","0.671550","0.669450","","0.02%"
"15/10/2024","0.670200","0.667750","0.671850","0.667350","","0.37%"
"14/10/2024","0.667700","0.670550","0.670800","0.666650","","-0.40%"
"11/10/2024","0.670400","0.673100","0.673850","0.669850","","-0.39%"
"10/10/2024","0.673000","0.669800","0.674050","0.668600","","0.49%"
"09/10/2024","0.669700","0.674800","0.675650","0.669400","","-0.76%"
"08/10/2024","0.674800","0.674850","0.678700","0.673900","","0.00%"
"07/10/2024","0.674800","0.672350","0.676350","0.670550","","0.37%"
"04/10/2024","0.672300","0.680550","0.685350","0.671050","","-1.20%"
"03/10/2024","0.680500","0.682750","0.683600","0.679150","","-0.32%"
"02/10/2024","0.682700","0.696550","0.697250","0.682500","","-1.98%"
"01/10/2024","0.696500","0.696200","0.699450","0.691800","","0.06%"
"30/09/2024","0.696100","0.703050","0.706000","0.694750","","-1.01%"
"27/09/2024","0.703200","0.690550","0.703900","0.682550","","1.82%"
"26/09/2024","0.690600","0.690800","0.693950","0.688600","","-0.03%"
"25/09/2024","0.690800","0.698200","0.699750","0.690400","","-1.05%"
"24/09/2024","0.698100","0.696300","0.698750","0.691100","","0.26%"
"23/09/2024","0.696300","0.694750","0.698500","0.692250","","0.22%"
"20/09/2024","0.694800","0.701150","0.705550","0.692000","","-0.90%"
"19/09/2024","0.701100","0.702800","0.704800","0.694650","","-0.24%"
"18/09/2024","0.702800","0.702150","0.712050","0.700650","","0.10%"
"17/09/2024","0.702100","0.711150","0.712700","0.701850","","-1.27%"
"16/09/2024","0.711100","0.710500","0.716450","0.709600","","0.15%"
"13/09/2024","0.710000","0.705100","0.712850","0.704850","","0.71%"
"12/09/2024","0.705000","0.702450","0.705650","0.699000","","0.37%"
"11/09/2024","0.702400","0.701950","0.710650","0.701550","","0.07%"
"10/09/2024","0.701900","0.698550","0.703250","0.695750","","0.52%"
"09/09/2024","0.698300","0.703100","0.704450","0.695400","","-0.63%"
"06/09/2024","0.702700","0.697100","0.705350","0.694850","","0.82%"
"05/09/2024","0.697000","0.695700","0.700050","0.693250","","0.19%"
"04/09/2024","0.695700","0.687400","0.695850","0.686950","","1.21%"
"03/09/2024","0.687400","0.680700","0.688850","0.679300","","1.01%"
"02/09/2024","0.680500","0.684050","0.686000","0.679400","","-0.51%"
"30/08/2024","0.684000","0.689750","0.691300","0.683700","","-0.83%"
"29/08/2024","0.689700","0.691650","0.693350","0.686950","","-0.25%"
