"Date","Price","Open","High","Low","Vol.","Change %"
"29/09/2023","0.7365","0.7413","0.7454","0.7361","","-0.65%"
"28/09/2023","0.7413","0.7408","0.7424","0.7398","","0.08%"
"27/09/2023","0.7407","0.7398","0.7411","0.7383","","0.14%"
"26/09/2023","0.7397","0.7432","0.7436","0.7391","","-0.47%"
"25/09/2023","0.7432","0.7422","0.7434","0.7411","","0.23%"
"22/09/2023","0.7415","0.7418","0.7450","0.7412","","-0.01%"
"21/09/2023","0.7416","0.7429","0.7434","0.7394","","-0.15%"
"20/09/2023","0.7427","0.7436","0.7466","0.7419","","-0.11%"
"19/09/2023","0.7435","0.7415","0.7473","0.7412","","0.30%"
"18/09/2023","0.7413","0.7395","0.7424","0.7391","","0.24%"
"15/09/2023","0.7395","0.7402","0.7411","0.7380","","-0.09%"
"14/09/2023","0.7402","0.7377","0.7412","0.7376","","0.31%"
"13/09/2023","0.7379","0.7377","0.7396","0.7359","","0.04%"
"12/09/2023","0.7376","0.7368","0.7384","0.7356","","0.14%"
"11/09/2023","0.7366","0.7336","0.7375","0.7332","","0.49%"
"08/09/2023","0.7330","0.7308","0.7349","0.7304","","0.31%"
"07/09/2023","0.7307","0.7333","0.7336","0.7301","","-0.34%"
"06/09/2023","0.7332","0.7330","0.7341","0.7311","","0.04%"
"05/09/2023","0.7329","0.7357","0.7360","0.7315","","-0.37%"
"04/09/2023","0.7356","0.7354","0.7367","0.7350","","0.03%"
"01/09/2023","0.7354","0.7403","0.7413","0.7345","","-0.64%"
"31/08/2023","0.7401","0.7390","0.7405","0.7375","","0.18%"
"30/08/2023","0.7388","0.7377","0.7401","0.7365","","0.15%"
"29/08/2023","0.7377","0.7353","0.7380","0.7332","","0.33%"
"28/08/2023","0.7353","0.7352","0.7369","0.7346","","0.05%"
"25/08/2023","0.7349","0.7364","0.7370","0.7331","","-0.18%"
"24/08/2023","0.7362","0.7394","0.7402","0.7358","","-0.42%"
"23/08/2023","0.7393","0.7380","0.7397","0.7350","","0.18%"
"22/08/2023","0.7380","0.7383","0.7401","0.7371","","-0.03%"
"21/08/2023","0.7382","0.7381","0.7410","0.7367","","0.03%"
"18/08/2023","0.7380","0.7383","0.7394","0.7366","","-0.03%"
"17/08/2023","0.7382","0.7387","0.7410","0.7378","","-0.08%"
"16/08/2023","0.7388","0.7408","0.7422","0.7383","","-0.26%"
"15/08/2023","0.7407","0.7429","0.7441","0.7406","","-0.27%"
"14/08/2023","0.7427","0.7442","0.7444","0.7418","","-0.16%"
"11/08/2023","0.7439","0.7437","0.7456","0.7426","","0.05%"
"10/08/2023","0.7435","0.7452","0.7478","0.7434","","-0.21%"
"09/08/2023","0.7451","0.7449","0.7461","0.7432","","0.00%"
"08/08/2023","0.7451","0.7480","0.7483","0.7406","","-0.37%"
"07/08/2023","0.7479","0.7478","0.7488","0.7462","","0.03%"
"04/08/2023","0.7477","0.7489","0.7509","0.7466","","-0.11%"
"03/08/2023","0.7485","0.7491","0.7503","0.7474","","-0.07%"
"02/08/2023","0.7490","0.7531","0.7538","0.7488","","-0.50%"
"01/08/2023","0.7528","0.7582","0.7586","0.7518","","-0.71%"
"31/07/2023","0.7582","0.7557","0.7604","0.7540","","0.50%"
"28/07/2023","0.7544","0.7560","0.7576","0.7544","","-0.22%"
"27/07/2023","0.7561","0.7571","0.7600","0.7550","","-0.11%"
"26/07/2023","0.7569","0.7593","0.7595","0.7553","","-0.30%"
"25/07/2023","0.7592","0.7595","0.7606","0.7570","","-0.01%"
"24/07/2023","0.7593","0.7564","0.7605","0.7559","","0.42%"
"21/07/2023","0.7561","0.7590","0.7603","0.7560","","-0.38%"
"20/07/2023","0.7590","0.7596","0.7623","0.7578","","-0.07%"
"19/07/2023","0.7595","0.7594","0.7602","0.7579","","0.04%"
"18/07/2023","0.7592","0.7577","0.7595","0.7551","","0.22%"
"17/07/2023","0.7575","0.7567","0.7599","0.7556","","0.12%"
"14/07/2023","0.7566","0.7624","0.7638","0.7560","","-0.80%"
"13/07/2023","0.7627","0.7585","0.7632","0.7578","","0.59%"
"12/07/2023","0.7582","0.7558","0.7609","0.7556","","0.33%"
"11/07/2023","0.7557","0.7530","0.7559","0.7524","","0.36%"
"10/07/2023","0.7530","0.7534","0.7537","0.7516","","-0.04%"
"07/07/2023","0.7533","0.7480","0.7538","0.7469","","0.71%"
"06/07/2023","0.7480","0.7530","0.7534","0.7477","","-0.64%"
"05/07/2023","0.7528","0.7562","0.7565","0.7522","","-0.44%"
"04/07/2023","0.7561","0.7547","0.7574","0.7542","","0.21%"
"03/07/2023","0.7545","0.7552","0.7559","0.7533","","-0.11%"
"30/06/2023","0.7553","0.7546","0.7572","0.7527","","0.12%"
"29/06/2023","0.7544","0.7542","0.7554","0.7526","","0.04%"
"28/06/2023","0.7541","0.7581","0.7582","0.7531","","-0.50%"
"27/06/2023","0.7579","0.7603","0.7624","0.7580","","-0.29%"
"26/06/2023","0.7601","0.7585","0.7613","0.7584","","0.22%"
"23/06/2023","0.7584","0.7603","0.7609","0.7560","","-0.25%"
"22/06/2023","0.7603","0.7598","0.7612","0.7587","","0.11%"
"21/06/2023","0.7595","0.7556","0.7600","0.7549","","0.53%"
"20/06/2023","0.7555","0.7568","0.7573","0.7535","","-0.18%"
"19/06/2023","0.7569","0.7574","0.7588","0.7559","","-0.09%"
"16/06/2023","0.7576","0.7564","0.7589","0.7552","","0.20%"
"15/06/2023","0.7561","0.7506","0.7570","0.7487","","0.76%"
"14/06/2023","0.7504","0.7509","0.7535","0.7489","","-0.05%"
"13/06/2023","0.7508","0.7480","0.7527","0.7474","","0.37%"
"12/06/2023","0.7480","0.7496","0.7511","0.7471","","-0.17%"
"09/06/2023","0.7493","0.7487","0.7512","0.7478","","0.07%"
"08/06/2023","0.7488","0.7479","0.7500","0.7469","","0.15%"
"07/06/2023","0.7477","0.7461","0.7507","0.7447","","0.24%"
"06/06/2023","0.7459","0.7436","0.7469","0.7433","","0.30%"
"05/06/2023","0.7437","0.7444","0.7454","0.7428","","-0.15%"
"02/06/2023","0.7448","0.7434","0.7459","0.7433","","0.20%"
"01/06/2023","0.7433","0.7368","0.7443","0.7360","","0.91%"
"31/05/2023","0.7366","0.7354","0.7370","0.7324","","0.22%"
"30/05/2023","0.7350","0.7358","0.7371","0.7345","","-0.11%"
"29/05/2023","0.7358","0.7351","0.7362","0.7342","","0.19%"
"26/05/2023","0.7344","0.7331","0.7353","0.7323","","0.18%"
"25/05/2023","0.7331","0.7355","0.7361","0.7328","","-0.31%"
"24/05/2023","0.7354","0.7402","0.7411","0.7349","","-0.69%"
"23/05/2023","0.7405","0.7404","0.7416","0.7380","","0.03%"
"22/05/2023","0.7403","0.7408","0.7416","0.7397","","-0.04%"
"19/05/2023","0.7406","0.7406","0.7425","0.7394","","0.01%"
"18/05/2023","0.7405","0.7436","0.7436","0.7393","","-0.36%"
"17/05/2023","0.7432","0.7418","0.7442","0.7387","","0.23%"
"16/05/2023","0.7415","0.7427","0.7461","0.7410","","-0.12%"
"15/05/2023","0.7424","0.7372","0.7430","0.7370","","0.61%"
"12/05/2023","0.7379","0.7411","0.7419","0.7372","","-0.43%"
"11/05/2023","0.7411","0.7480","0.7484","0.7409","","-0.88%"
"10/05/2023","0.7477","0.7470","0.7499","0.7454","","0.12%"
"09/05/2023","0.7468","0.7478","0.7483","0.7459","","-0.11%"
"08/05/2023","0.7476","0.7471","0.7510","0.7469","","0.00%"
"05/05/2023","0.7476","0.7387","0.7479","0.7383","","1.23%"
"04/05/2023","0.7385","0.7343","0.7397","0.7335","","0.56%"
"03/05/2023","0.7344","0.7339","0.7363","0.7331","","0.08%"
"02/05/2023","0.7338","0.7382","0.7393","0.7332","","-0.60%"
"01/05/2023","0.7382","0.7383","0.7391","0.7362","","0.05%"
"28/04/2023","0.7378","0.7357","0.7388","0.7316","","0.30%"
"27/04/2023","0.7356","0.7333","0.7359","0.7328","","0.33%"
"26/04/2023","0.7332","0.7338","0.7354","0.7325","","-0.07%"
"25/04/2023","0.7337","0.7386","0.7394","0.7326","","-0.64%"
"24/04/2023","0.7384","0.7384","0.7395","0.7370","","0.00%"
"21/04/2023","0.7384","0.7422","0.7423","0.7372","","-0.46%"
"20/04/2023","0.7418","0.7430","0.7436","0.7412","","-0.13%"
"19/04/2023","0.7428","0.7469","0.7471","0.7425","","-0.52%"
"18/04/2023","0.7467","0.7466","0.7485","0.7462","","0.03%"
"17/04/2023","0.7465","0.7484","0.7495","0.7451","","-0.23%"
"14/04/2023","0.7482","0.7498","0.7518","0.7464","","-0.20%"
"13/04/2023","0.7497","0.7440","0.7501","0.7436","","0.78%"
"12/04/2023","0.7439","0.7425","0.7448","0.7412","","0.20%"
"11/04/2023","0.7424","0.7401","0.7429","0.7398","","0.32%"
"10/04/2023","0.7400","0.7395","0.7416","0.7377","","-0.01%"
"07/04/2023","0.7401","0.7412","0.7417","0.7390","","-0.13%"
"06/04/2023","0.7411","0.7430","0.7437","0.7404","","-0.26%"
"05/04/2023","0.7430","0.7439","0.7448","0.7416","","-0.12%"
"04/04/2023","0.7439","0.7441","0.7459","0.7424","","-0.03%"
"03/04/2023","0.7441","0.7398","0.7457","0.7387","","0.58%"
"31/03/2023","0.7398","0.7394","0.7404","0.7371","","0.07%"
