"Date","Price","Open","High","Low","Vol.","Change %"
"27/09/2023","1.2134","1.2169","1.2169","1.2110","","-0.19%"
"26/09/2023","1.2157","1.2209","1.2217","1.2151","","-0.44%"
"25/09/2023","1.2211","1.2246","1.2251","1.2193","","-0.22%"
"22/09/2023","1.2238","1.2301","1.2301","1.2230","","-0.46%"
"21/09/2023","1.2294","1.2349","1.2356","1.2236","","-0.41%"
"20/09/2023","1.2344","1.2392","1.2422","1.2332","","-0.37%"
"19/09/2023","1.2390","1.2385","1.2426","1.2370","","0.06%"
"18/09/2023","1.2382","1.2385","1.2412","1.2370","","-0.06%"
"15/09/2023","1.2389","1.2410","1.2447","1.2378","","-0.16%"
"14/09/2023","1.2409","1.2486","1.2507","1.2395","","-0.63%"
"13/09/2023","1.2488","1.2486","1.2513","1.2434","","0.03%"
"12/09/2023","1.2484","1.2508","1.2532","1.2458","","-0.20%"
"11/09/2023","1.2509","1.2483","1.2549","1.2471","","0.36%"
"08/09/2023","1.2464","1.2474","1.2515","1.2450","","-0.07%"
"07/09/2023","1.2473","1.2507","1.2511","1.2445","","-0.26%"
"06/09/2023","1.2505","1.2565","1.2589","1.2482","","-0.46%"
"05/09/2023","1.2563","1.2621","1.2632","1.2528","","-0.46%"
"04/09/2023","1.2621","1.2588","1.2644","1.2584","","0.26%"
"01/09/2023","1.2588","1.2674","1.2714","1.2577","","-0.67%"
"31/08/2023","1.2673","1.2721","1.2736","1.2651","","-0.35%"
"30/08/2023","1.2718","1.2644","1.2747","1.2618","","0.63%"
"29/08/2023","1.2638","1.2604","1.2656","1.2562","","0.28%"
"28/08/2023","1.2603","1.2578","1.2612","1.2565","","0.21%"
"25/08/2023","1.2577","1.2601","1.2655","1.2548","","-0.17%"
"24/08/2023","1.2599","1.2731","1.2731","1.2591","","-1.00%"
"23/08/2023","1.2726","1.2733","1.2766","1.2615","","-0.03%"
"22/08/2023","1.2730","1.2757","1.2802","1.2717","","-0.19%"
"21/08/2023","1.2754","1.2733","1.2767","1.2709","","0.19%"
"18/08/2023","1.2730","1.2745","1.2767","1.2688","","-0.12%"
"17/08/2023","1.2745","1.2729","1.2788","1.2702","","0.14%"
"16/08/2023","1.2727","1.2707","1.2768","1.2687","","0.19%"
"15/08/2023","1.2703","1.2690","1.2753","1.2674","","0.18%"
"14/08/2023","1.2680","1.2688","1.2716","1.2615","","-0.11%"
"11/08/2023","1.2694","1.2678","1.2740","1.2665","","0.15%"
"10/08/2023","1.2675","1.2718","1.2819","1.2669","","-0.34%"
"09/08/2023","1.2718","1.2746","1.2783","1.2711","","-0.22%"
"08/08/2023","1.2746","1.2785","1.2788","1.2684","","-0.30%"
"07/08/2023","1.2784","1.2753","1.2790","1.2713","","0.28%"
"04/08/2023","1.2748","1.2714","1.2794","1.2688","","0.28%"
"03/08/2023","1.2713","1.2711","1.2729","1.2622","","0.03%"
"02/08/2023","1.2709","1.2777","1.2807","1.2680","","-0.53%"
"01/08/2023","1.2777","1.2838","1.2843","1.2740","","-0.47%"
"31/07/2023","1.2837","1.2849","1.2874","1.2828","","-0.10%"
"28/07/2023","1.2850","1.2797","1.2888","1.2763","","0.45%"
"27/07/2023","1.2793","1.2939","1.2997","1.2781","","-1.13%"
